current_time:2018-05-20 13:01:49
batchsize:24,epochs:800,rate:0.02X:5,Y:1,per_time:10
epochs:145,train_loss:0.00752102335073,validation_loss:0.00685220649934
epochs:146,train_loss:0.0029044834044,validation_loss:0.00685527549497
epochs:147,train_loss:0.0413489267941,validation_loss:0.00682971588526
epochs:148,train_loss:0.00261553980562,validation_loss:0.00682737064869
epochs:149,train_loss:0.00658790207652,validation_loss:0.0068227464183
epochs:150,train_loss:0.00451100328981,validation_loss:0.00682340235234
epochs:151,train_loss:0.00402902585028,validation_loss:0.00681709155651
epochs:152,train_loss:0.0242312684024,validation_loss:0.0068059451244
epochs:153,train_loss:0.00649748591995,validation_loss:0.00680424816982
epochs:154,train_loss:0.0193377124721,validation_loss:0.00679668466348
epochs:155,train_loss:0.00258423959211,validation_loss:0.00679969752788
epochs:156,train_loss:0.00372880830718,validation_loss:0.0067987689228
epochs:157,train_loss:0.00548696277475,validation_loss:0.00679750413626
epochs:158,train_loss:0.00869783637015,validation_loss:0.00679087520767
epochs:159,train_loss:0.00391739272021,validation_loss:0.00679155699404
epochs:160,train_loss:0.00429174582458,validation_loss:0.00678948649275
epochs:161,train_loss:0.00799490032101,validation_loss:0.00678501891376
epochs:162,train_loss:0.00201472933784,validation_loss:0.00678732178478
epochs:163,train_loss:0.00322378125554,validation_loss:0.0067862448438
epochs:164,train_loss:0.00519443566428,validation_loss:0.00678443006255
epochs:165,train_loss:0.0074277720427,validation_loss:0.00678192928715
epochs:166,train_loss:0.0020398241066,validation_loss:0.00678259904335
epochs:167,train_loss:0.00998296576373,validation_loss:0.00677567443332
epochs:168,train_loss:0.00448751869911,validation_loss:0.00677440532111
epochs:169,train_loss:0.00893733397898,validation_loss:0.00676613854061
epochs:170,train_loss:0.00356001960946,validation_loss:0.00676373084532
epochs:171,train_loss:0.0128341420625,validation_loss:0.00675534451033
epochs:172,train_loss:0.0096689737583,validation_loss:0.00674931929924
epochs:173,train_loss:0.00271707761911,validation_loss:0.00674964170619
epochs:174,train_loss:0.00585197128745,validation_loss:0.00674848322146
epochs:175,train_loss:0.0082752419162,validation_loss:0.00674364842627
epochs:176,train_loss:0.00263177374534,validation_loss:0.00674469595414
epochs:177,train_loss:0.00743935543664,validation_loss:0.00674052406498
epochs:178,train_loss:0.00359869329833,validation_loss:0.00673939191096
epochs:179,train_loss:0.00600071481641,validation_loss:0.00673541654571
epochs:180,train_loss:0.00297249509297,validation_loss:0.00673398498649
epochs:181,train_loss:0.00491730026278,validation_loss:0.00673000817159
epochs:182,train_loss:0.0086922616283,validation_loss:0.00672751002883
epochs:183,train_loss:0.00652984801563,validation_loss:0.0067255200104
epochs:184,train_loss:0.00456074315655,validation_loss:0.00672318891305
epochs:185,train_loss:0.00222150889926,validation_loss:0.00672261220898
epochs:186,train_loss:0.00295363344668,validation_loss:0.0067208667178
epochs:187,train_loss:0.00533683475756,validation_loss:0.00671969306018
epochs:188,train_loss:0.0104156842097,validation_loss:0.00671464606852
epochs:189,train_loss:0.00399667570031,validation_loss:0.00671350709796
epochs:190,train_loss:0.00214694774274,validation_loss:0.00671503952651
epochs:191,train_loss:0.00196399926985,validation_loss:0.00671583829244
epochs:192,train_loss:0.00381569890874,validation_loss:0.00671344512608
epochs:193,train_loss:0.00300539975882,validation_loss:0.00671233118038
epochs:194,train_loss:0.00422164853259,validation_loss:0.00670932480867
epochs:195,train_loss:0.00279674634895,validation_loss:0.00670976068641
epochs:196,train_loss:0.0050255955251,validation_loss:0.00670898766808
epochs:197,train_loss:0.00200815893286,validation_loss:0.00671213809149
epochs:198,train_loss:0.00271320412785,validation_loss:0.00671209427192
epochs:199,train_loss:0.0289092008749,validation_loss:0.00669758202202
epochs:200,train_loss:0.00341104919688,validation_loss:0.00670024940387
epochs:201,train_loss:0.00206961536072,validation_loss:0.00670241946093
epochs:202,train_loss:0.00223478066954,validation_loss:0.00670262464758
epochs:203,train_loss:0.00873391467251,validation_loss:0.00669680839057
epochs:204,train_loss:0.00494428169307,validation_loss:0.00669445019026
epochs:205,train_loss:0.00327391375958,validation_loss:0.00669418880405
epochs:206,train_loss:0.0119973588927,validation_loss:0.00668703090141
epochs:207,train_loss:0.00628118488338,validation_loss:0.00668319467997
epochs:208,train_loss:0.00242231951298,validation_loss:0.00668536493723
epochs:209,train_loss:0.00332568646097,validation_loss:0.00668454301105
epochs:210,train_loss:0.00302201906287,validation_loss:0.00668530481071
epochs:211,train_loss:0.00704518443332,validation_loss:0.00667993661552
epochs:212,train_loss:0.0117232982746,validation_loss:0.00667154451852
epochs:213,train_loss:0.00238201644832,validation_loss:0.00667656736119
epochs:214,train_loss:0.0099182385687,validation_loss:0.00666685219993
epochs:215,train_loss:0.00684011818536,validation_loss:0.00666164748605
epochs:216,train_loss:0.00243375357558,validation_loss:0.00666348311421
epochs:217,train_loss:0.00961750099244,validation_loss:0.00665654628406
epochs:218,train_loss:0.00657652169587,validation_loss:0.0066537182132
epochs:219,train_loss:0.00351386328685,validation_loss:0.00665480609021
epochs:220,train_loss:0.00657796621439,validation_loss:0.00665049814302
epochs:221,train_loss:0.0372177566608,validation_loss:0.00663496814607
epochs:222,train_loss:0.00376627271993,validation_loss:0.00663404828948
epochs:223,train_loss:0.00445321349867,validation_loss:0.00663204393843
epochs:224,train_loss:0.0273816446881,validation_loss:0.00661931405227
epochs:225,train_loss:0.0137686882896,validation_loss:0.00661253755727
epochs:226,train_loss:0.0327433974134,validation_loss:0.00660339191743
epochs:227,train_loss:0.00272312868246,validation_loss:0.0066022010464
epochs:228,train_loss:0.00830866922012,validation_loss:0.00659880155404
epochs:229,train_loss:0.00319253774255,validation_loss:0.00659746180132
epochs:230,train_loss:0.003248932929,validation_loss:0.00659611513582
epochs:231,train_loss:0.0115007465558,validation_loss:0.00659197941904
epochs:232,train_loss:0.00359971414838,validation_loss:0.00659060157188
epochs:233,train_loss:0.00287327648184,validation_loss:0.00658929293919
epochs:234,train_loss:0.00625277811656,validation_loss:0.00658687357383
epochs:235,train_loss:0.0035919247237,validation_loss:0.00658543312073
epochs:236,train_loss:0.00758777061537,validation_loss:0.00658139987099
epochs:237,train_loss:0.0257424108927,validation_loss:0.00657451559495
epochs:238,train_loss:0.0152539324541,validation_loss:0.00656949130325
epochs:239,train_loss:0.0216667411176,validation_loss:0.00656395298801
epochs:240,train_loss:0.00175822554976,validation_loss:0.00656160421035
epochs:241,train_loss:0.00185325957083,validation_loss:0.00655956864058
epochs:242,train_loss:0.0106852550761,validation_loss:0.00655516560596
epochs:243,train_loss:0.0227500940732,validation_loss:0.00654948193888
epochs:244,train_loss:0.00559194631621,validation_loss:0.00654992908996
epochs:245,train_loss:0.00517811048361,validation_loss:0.00654788388275
epochs:246,train_loss:0.0054650543978,validation_loss:0.00654633308578
epochs:247,train_loss:0.0103280388176,validation_loss:0.00654166463849
epochs:248,train_loss:0.00396516659976,validation_loss:0.00653870506787
epochs:249,train_loss:0.00694078093936,validation_loss:0.00653590684508
epochs:250,train_loss:0.0402243997277,validation_loss:0.00652822297732
epochs:251,train_loss:0.0167624769776,validation_loss:0.00652505317584
epochs:252,train_loss:0.00573120555594,validation_loss:0.00652152829789
epochs:253,train_loss:0.00625233255877,validation_loss:0.00651572865912
epochs:254,train_loss:0.00186521437587,validation_loss:0.00651054826574
epochs:255,train_loss:0.00264584519755,validation_loss:0.00650657804626
epochs:256,train_loss:0.0317370599906,validation_loss:0.00650238047366
epochs:257,train_loss:0.00461227445618,validation_loss:0.00650043039663
epochs:258,train_loss:0.00452859607559,validation_loss:0.00649746473596
epochs:259,train_loss:0.00621244096495,validation_loss:0.0064969344122
epochs:260,train_loss:0.0270484574929,validation_loss:0.00649206306181
epochs:261,train_loss:0.00376584848942,validation_loss:0.00648939122342
epochs:262,train_loss:0.0230042692044,validation_loss:0.00648383484482
epochs:263,train_loss:0.00981153437959,validation_loss:0.00648738545911
epochs:264,train_loss:0.00296632408653,validation_loss:0.00648458937446
epochs:265,train_loss:0.0206085711795,validation_loss:0.00647992032903
epochs:266,train_loss:0.00503175539427,validation_loss:0.00647334267708
epochs:267,train_loss:0.00800776452059,validation_loss:0.00647477917038
epochs:268,train_loss:0.00291999576426,validation_loss:0.00647065273836
epochs:269,train_loss:0.00271438403242,validation_loss:0.00646381737808
epochs:270,train_loss:0.0101170404579,validation_loss:0.0064567201354
epochs:271,train_loss:0.00193511473881,validation_loss:0.00645313889666
epochs:272,train_loss:0.00173263598011,validation_loss:0.00645120407349
epochs:273,train_loss:0.0100717522236,validation_loss:0.00645076877466
epochs:274,train_loss:0.00827597878475,validation_loss:0.00645021074293
epochs:275,train_loss:0.012848491155,validation_loss:0.00644976703547
epochs:276,train_loss:0.0105789701905,validation_loss:0.00644734178687
epochs:277,train_loss:0.00758597219202,validation_loss:0.00644677513957
epochs:278,train_loss:0.00863196249263,validation_loss:0.0064474087313
epochs:279,train_loss:0.00234853132891,validation_loss:0.00644012252722
epochs:280,train_loss:0.0174468370171,validation_loss:0.00643633276924
epochs:281,train_loss:0.00753488061618,validation_loss:0.00643269051947
epochs:282,train_loss:0.0106070149719,validation_loss:0.00643143094867
epochs:283,train_loss:0.00488449796164,validation_loss:0.00642788765116
epochs:284,train_loss:0.00377598117915,validation_loss:0.00642158163726
epochs:285,train_loss:0.0117773361341,validation_loss:0.00641781032397
epochs:286,train_loss:0.00921030895848,validation_loss:0.00641778892793
epochs:287,train_loss:0.00257979295446,validation_loss:0.00641344370333
epochs:288,train_loss:0.00207367665373,validation_loss:0.00640976105384
epochs:289,train_loss:0.0225413339104,validation_loss:0.00640701815053
epochs:290,train_loss:0.00191196454805,validation_loss:0.00640164305056
epochs:291,train_loss:0.00258629399636,validation_loss:0.00639593895131
epochs:292,train_loss:0.00573060382924,validation_loss:0.00639229715893
epochs:293,train_loss:0.00837966170114,validation_loss:0.00638828008254
epochs:294,train_loss:0.00322842112659,validation_loss:0.00638576954955
epochs:295,train_loss:0.00526140779089,validation_loss:0.00638332174007
epochs:296,train_loss:0.0146825725663,validation_loss:0.00638047228696
epochs:297,train_loss:0.00643148406798,validation_loss:0.00637715588856
epochs:298,train_loss:0.00314416872936,validation_loss:0.00637478782889
epochs:299,train_loss:0.00898748579024,validation_loss:0.0063726880759
epochs:300,train_loss:0.00344082692445,validation_loss:0.00637084777618
epochs:301,train_loss:0.00931904525066,validation_loss:0.00636842092247
epochs:302,train_loss:0.00532021417964,validation_loss:0.00636715766557
epochs:303,train_loss:0.00586022807281,validation_loss:0.0063642983726
epochs:304,train_loss:0.00506473895348,validation_loss:0.0063633922716
epochs:305,train_loss:0.00346460248691,validation_loss:0.00636221107779
epochs:306,train_loss:0.00376286479968,validation_loss:0.00635945059379
epochs:307,train_loss:0.00532529926463,validation_loss:0.00635736514647
epochs:308,train_loss:0.00504457490648,validation_loss:0.00635528546007
epochs:309,train_loss:0.0351588770488,validation_loss:0.0063503002291
epochs:310,train_loss:0.00186564452737,validation_loss:0.00634851544748
epochs:311,train_loss:0.0236614504725,validation_loss:0.00634212109265
epochs:312,train_loss:0.0079370162947,validation_loss:0.00634092073289
epochs:313,train_loss:0.00380382021984,validation_loss:0.00633869373872
epochs:314,train_loss:0.00522683789638,validation_loss:0.00633664325206
epochs:315,train_loss:0.00279090508843,validation_loss:0.00633038510654
epochs:316,train_loss:0.00607086283008,validation_loss:0.0063274677166
epochs:317,train_loss:0.00652425703377,validation_loss:0.00632559266594
epochs:318,train_loss:0.00570745682112,validation_loss:0.00632376716092
epochs:319,train_loss:0.0227863708159,validation_loss:0.0063199643451
epochs:320,train_loss:0.00545048796538,validation_loss:0.00631730442675
epochs:321,train_loss:0.00473483237356,validation_loss:0.00631424160064
epochs:322,train_loss:0.0178369353897,validation_loss:0.00630828692293
epochs:323,train_loss:0.0307878143496,validation_loss:0.00630264035865
