入库时间,站点编号,站点名称,平面坐标系X,平面坐标系y,观测时间,当前雨量开始时间,当前雨量结束时间,当前雨量(毫米),近1小时雨量开始时间,近1小时雨量结束时间,近1小时雨量(毫米),近3小时雨量开始时间,近3小时雨量结束时间,近3小时雨量(毫米)
2017/6/1 2:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:50:00,2017/6/1 1:00:00,2017/6/1 1:50:00,0,2017/6/1 0:50:00,2017/6/1 1:50:00,0,2017/5/31 22:50:00,2017/6/1 1:50:00,0
2017/6/1 2:20:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 2:10:00,2017/6/1 2:00:00,2017/6/1 2:10:00,0,2017/6/1 1:10:00,2017/6/1 2:10:00,0,2017/5/31 23:10:00,2017/6/1 2:10:00,0
2017/6/1 2:30:05,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 2:20:00,2017/6/1 2:00:00,2017/6/1 2:20:00,0,2017/6/1 1:20:00,2017/6/1 2:20:00,0,2017/5/31 23:20:00,2017/6/1 2:20:00,0
2017/6/1 2:40:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 2:30:00,2017/6/1 2:00:00,2017/6/1 2:30:00,0,2017/6/1 1:30:00,2017/6/1 2:30:00,0,2017/5/31 23:30:00,2017/6/1 2:30:00,0
2017/6/1 2:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 2:40:00,2017/6/1 2:00:00,2017/6/1 2:40:00,0,2017/6/1 1:40:00,2017/6/1 2:40:00,0,2017/5/31 23:40:00,2017/6/1 2:40:00,0
2017/6/1 20:00:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 19:50:00,2017/6/1 19:00:00,2017/6/1 19:50:00,0,2017/6/1 18:50:00,2017/6/1 19:50:00,0,2017/6/1 16:50:00,2017/6/1 19:50:00,0
2017/6/1 20:10:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:00:00,2017/6/1 19:00:00,2017/6/1 20:00:00,0,2017/6/1 19:00:00,2017/6/1 20:00:00,0,2017/6/1 17:00:00,2017/6/1 20:00:00,0
2017/6/1 20:20:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:10:00,2017/6/1 20:00:00,2017/6/1 20:10:00,0,2017/6/1 19:10:00,2017/6/1 20:10:00,0,2017/6/1 17:10:00,2017/6/1 20:10:00,0
2017/6/1 20:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:20:00,2017/6/1 20:00:00,2017/6/1 20:20:00,0,2017/6/1 19:20:00,2017/6/1 20:20:00,0,2017/6/1 17:20:00,2017/6/1 20:20:00,0
2017/6/1 20:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:30:00,2017/6/1 20:00:00,2017/6/1 20:30:00,0,2017/6/1 19:30:00,2017/6/1 20:30:00,0,2017/6/1 17:30:00,2017/6/1 20:30:00,0
2017/6/1 20:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:40:00,2017/6/1 20:00:00,2017/6/1 20:40:00,0,2017/6/1 19:40:00,2017/6/1 20:40:00,0,2017/6/1 17:40:00,2017/6/1 20:40:00,0
